WRISTX,WRISTY,THUMB_CMCX,THUMB_CMCY,THUMB_MCPX,THUMB_MCPY,THUMB_IPX,THUMB_IPY,THUMB_TIPX,THUMB_TIPY,INDEX_FINGER_MCPX,INDEX_FINGER_MCPY,INDEX_FINGER_PIPX,INDEX_FINGER_PIPY,INDEX_FINGER_DIPX,INDEX_FINGER_DIPY,INDEX_FINGER_TIPX,INDEX_FINGER_TIPY,MIDDLE_FINGER_MCPX,MIDDLE_FINGER_MCPY,MIDDLE_FINGER_PIPX,MIDDLE_FINGER_PIPY,MIDDLE_FINGER_DIPX,MIDDLE_FINGER_DIPY,MIDDLE_FINGER_TIPX,MIDDLE_FINGER_TIPY,RING_FINGER_MCPX,RING_FINGER_MCPY,RING_FINGER_PIPX,RING_FINGER_PIPY,RING_FINGER_DIPX,RING_FINGER_DIPY,RING_FINGER_TIPX,RING_FINGER_TIPY,PINKY_MCPX,PINKY_MCPY,PINKY_PIPX,PINKY_PIPY,PINKY_DIPX,PINKY_DIPY,PINKY_TIPX,PINKY_TIPY
0.0,0.0,-0.1297709923664122,-0.17557251908396945,-0.16539440203562342,-0.35877862595419846,-0.2035623409669211,-0.49872773536895676,-0.23918575063613232,-0.5877862595419847,0.0,-0.55470737913486,-0.13994910941475827,-0.7582697201017812,-0.2035623409669211,-0.8829516539440203,-0.24936386768447838,-1.0,0.010178117048346057,-0.5241730279898219,-0.27989821882951654,-0.6310432569974554,-0.4300254452926209,-0.6844783715012722,-0.5267175572519084,-0.7506361323155216,-0.007633587786259542,-0.46055979643765904,-0.3053435114503817,-0.4732824427480916,-0.2824427480916031,-0.361323155216285,-0.21374045801526717,-0.31297709923664124,-0.05089058524173028,-0.3791348600508906,-0.28498727735368956,-0.36895674300254455,-0.272264631043257,-0.28498727735368956,-0.2010178117048346,-0.24427480916030533
0.0,0.0,-0.12213740458015267,-0.17557251908396945,-0.15521628498727735,-0.35877862595419846,-0.19592875318066158,-0.49872773536895676,-0.2366412213740458,-0.5877862595419847,0.0,-0.55470737913486,-0.1450381679389313,-0.7557251908396947,-0.2035623409669211,-0.8804071246819338,-0.25190839694656486,-1.0,0.010178117048346057,-0.5241730279898219,-0.27989821882951654,-0.6310432569974554,-0.4300254452926209,-0.6793893129770993,-0.5267175572519084,-0.7480916030534351,-0.010178117048346057,-0.4580152671755725,-0.3053435114503817,-0.4732824427480916,-0.2824427480916031,-0.3638676844783715,-0.21374045801526717,-0.31297709923664124,-0.05597964376590331,-0.37404580152671757,-0.2875318066157761,-0.36895674300254455,-0.2697201017811705,-0.28498727735368956,-0.2010178117048346,-0.24173027989821882
0.0,0.0,-0.12020460358056266,-0.17647058823529413,-0.1585677749360614,-0.35805626598465473,-0.2020460358056266,-0.49872122762148335,-0.24552429667519182,-0.5856777493606138,0.0,-0.5549872122762148,-0.14578005115089515,-0.7570332480818415,-0.2071611253196931,-0.8823529411764706,-0.2557544757033248,-1.0,0.010230179028132993,-0.5242966751918159,-0.27877237851662406,-0.6317135549872123,-0.43478260869565216,-0.6854219948849105,-0.5319693094629157,-0.7544757033248082,-0.010230179028132993,-0.4578005115089514,-0.3069053708439898,-0.4731457800511509,-0.28388746803069054,-0.3631713554987212,-0.21739130434782608,-0.31202046035805625,-0.056265984654731455,-0.37595907928388744,-0.289002557544757,-0.36828644501278773,-0.2710997442455243,-0.28388746803069054,-0.2020460358056266,-0.24296675191815856
0.0,0.0,-0.11597938144329897,-0.17525773195876287,-0.15206185567010308,-0.3634020618556701,-0.19329896907216496,-0.5051546391752577,-0.23711340206185566,-0.5902061855670103,0.0,-0.5541237113402062,-0.14690721649484537,-0.7551546391752577,-0.20876288659793815,-0.8814432989690721,-0.2603092783505155,-1.0,0.005154639175257732,-0.520618556701031,-0.28350515463917525,-0.6288659793814433,-0.4381443298969072,-0.6855670103092784,-0.5412371134020618,-0.7551546391752577,-0.01804123711340206,-0.45618556701030927,-0.3118556701030928,-0.47164948453608246,-0.28865979381443296,-0.36855670103092786,-0.22164948453608246,-0.3170103092783505,-0.06701030927835051,-0.37371134020618557,-0.29381443298969073,-0.37371134020618557,-0.2757731958762887,-0.2912371134020619,-0.211340206185567,-0.24484536082474226
0.0,0.0,-0.11538461538461539,-0.17435897435897435,-0.15128205128205127,-0.36153846153846153,-0.19230769230769232,-0.5025641025641026,-0.23076923076923078,-0.5897435897435898,0.0,-0.5487179487179488,-0.13846153846153847,-0.7538461538461538,-0.19743589743589743,-0.8794871794871795,-0.24358974358974358,-1.0,0.010256410256410256,-0.5153846153846153,-0.2692307692307692,-0.6282051282051282,-0.4230769230769231,-0.6820512820512821,-0.5256410256410257,-0.7538461538461538,-0.01282051282051282,-0.45384615384615384,-0.30512820512820515,-0.46923076923076923,-0.2846153846153846,-0.3641025641025641,-0.21794871794871795,-0.3153846153846154,-0.05897435897435897,-0.3717948717948718,-0.28974358974358977,-0.36923076923076925,-0.2717948717948718,-0.28717948717948716,-0.20256410256410257,-0.24358974358974358
0.0,0.0,-0.11794871794871795,-0.17692307692307693,-0.15384615384615385,-0.358974358974359,-0.19230769230769232,-0.49743589743589745,-0.23846153846153847,-0.5846153846153846,0.0,-0.5487179487179488,-0.13846153846153847,-0.7538461538461538,-0.19743589743589743,-0.8794871794871795,-0.24358974358974358,-1.0,0.010256410256410256,-0.5153846153846153,-0.2743589743589744,-0.6256410256410256,-0.4256410256410256,-0.6820512820512821,-0.5282051282051282,-0.7538461538461538,-0.015384615384615385,-0.45384615384615384,-0.30512820512820515,-0.46923076923076923,-0.2846153846153846,-0.36666666666666664,-0.2153846153846154,-0.31794871794871793,-0.06153846153846154,-0.36923076923076925,-0.28974358974358977,-0.3717948717948718,-0.2717948717948718,-0.28717948717948716,-0.20256410256410257,-0.24615384615384617
0.0,0.0,-0.11025641025641025,-0.17692307692307693,-0.15128205128205127,-0.358974358974359,-0.19487179487179487,-0.5,-0.24358974358974358,-0.5871794871794872,0.0,-0.5487179487179488,-0.14102564102564102,-0.7538461538461538,-0.20256410256410257,-0.8794871794871795,-0.24871794871794872,-1.0,0.005128205128205128,-0.517948717948718,-0.27692307692307694,-0.6282051282051282,-0.4307692307692308,-0.6871794871794872,-0.5358974358974359,-0.7564102564102564,-0.017948717948717947,-0.45384615384615384,-0.3128205128205128,-0.4717948717948718,-0.28974358974358977,-0.3641025641025641,-0.2230769230769231,-0.3153846153846154,-0.06923076923076923,-0.37435897435897436,-0.29743589743589743,-0.3717948717948718,-0.2794871794871795,-0.28717948717948716,-0.2128205128205128,-0.24358974358974358
0.0,0.0,-0.10485933503836317,-0.17647058823529413,-0.1432225063938619,-0.3631713554987212,-0.1918158567774936,-0.49872122762148335,-0.24040920716112532,-0.5831202046035806,0.0,-0.5473145780051151,-0.14066496163682865,-0.7519181585677749,-0.2020460358056266,-0.8797953964194374,-0.24808184143222506,-1.0,0.005115089514066497,-0.5166240409207161,-0.27877237851662406,-0.6265984654731458,-0.4296675191815857,-0.6828644501278772,-0.5319693094629157,-0.7570332480818415,-0.020460358056265986,-0.45012787723785164,-0.31202046035805625,-0.47058823529411764,-0.289002557544757,-0.3631713554987212,-0.21994884910485935,-0.3145780051150895,-0.06905370843989769,-0.37084398976982097,-0.2966751918158568,-0.37084398976982097,-0.27621483375959077,-0.2864450127877238,-0.20971867007672634,-0.24296675191815856
0.0,0.0,-0.11928934010152284,-0.1751269035532995,-0.1548223350253807,-0.3604060913705584,-0.19289340101522842,-0.5,-0.233502538071066,-0.5913705583756346,0.0,-0.5456852791878173,-0.13705583756345177,-0.751269035532995,-0.19289340101522842,-0.8807106598984772,-0.23857868020304568,-1.0,0.007614213197969543,-0.5126903553299492,-0.2715736040609137,-0.6243654822335025,-0.4213197969543147,-0.682741116751269,-0.5203045685279187,-0.7538071065989848,-0.012690355329949238,-0.44923857868020306,-0.30456852791878175,-0.46954314720812185,-0.2868020304568528,-0.3680203045685279,-0.2182741116751269,-0.31725888324873097,-0.06345177664974619,-0.37055837563451777,-0.2893401015228426,-0.37055837563451777,-0.27411167512690354,-0.2893401015228426,-0.20812182741116753,-0.24619289340101522
0.0,0.0,-0.10941475826972011,-0.178117048346056,-0.1450381679389313,-0.361323155216285,-0.19083969465648856,-0.49872773536895676,-0.2340966921119593,-0.5852417302798982,0.0,-0.5470737913486005,-0.13994910941475827,-0.7506361323155216,-0.1984732824427481,-0.8804071246819338,-0.24173027989821882,-1.0,0.005089058524173028,-0.5139949109414759,-0.27735368956743,-0.6259541984732825,-0.42748091603053434,-0.6870229007633588,-0.5267175572519084,-0.7582697201017812,-0.015267175572519083,-0.45038167938931295,-0.3104325699745547,-0.4732824427480916,-0.2875318066157761,-0.37150127226463103,-0.21882951653944022,-0.32061068702290074,-0.06615776081424936,-0.37150127226463103,-0.2926208651399491,-0.37150127226463103,-0.27735368956743,-0.2900763358778626,-0.20865139949109415,-0.24681933842239187
